name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
13 Months of Sunshine,6/6/2008,"$2,237",1,N/A,1,"$2,337",/movies/?id=13monthsofsunshine.htm
13 Sins,4/18/2014,"$9,261",45,RTWC,45,"$13,809",/movies/?id=13sins.htm
13 Tzameti,7/28/2006,"$10,805",1,Palm,6,"$121,390",/movies/?id=13tzameti.htm
13B,3/6/2009,"$6,752",10,AdL.,10,"$12,449*",/movies/?id=13b.htm
The 13th Alley,6/13/2008,"$112,946",72,SChf.,72,"$250,992",/movies/?id=13thalley.htm
The 13th Warrior,8/27/1999,"$10,267,756","2,306",BV,"2,313","$32,698,899",/movies/?id=13thwarrior.htm
14 Blades,8/22/2014,n/a,4,RTWC,4,n/a,/movies/?id=14blades.htm
1408,6/22/2007,"$20,617,667","2,678",MGM/W,"2,733","$71,985,628",/movies/?id=1408.htm
1492: Conquest of Paradise,10/9/1992,"$3,002,680","1,008",Par.,"1,008","$7,191,399",/movies/?id=1492.htm
15,4/13/2005,$633,1,Pict.,1,"$3,013",/movies/?id=15.htm
15 Fevrier 1839,1/26/2001,"$45,610",6,Chris.,36,"$248,093",/movies/?id=15fevrier1839.htm
15 Minutes,3/9/2001,"$10,523,154","2,337",NL,"2,337","$24,403,552",/movies/?id=15minutes.htm
16 Blocks,3/3/2006,"$11,855,260","2,706",WB,"2,706","$36,895,141",/movies/?id=16blocks.htm
16 Days of Glory,3/7/1986,n/a,n/a,Par.,n/a,"$83,857",/movies/?id=16daysofglory.htm
16 Years of Alcohol,3/15/2005,"$2,863",1,Tar.,2,"$8,046",/movies/?id=16yearsofalcohol.htm
17 Again,4/17/2009,"$23,722,310","3,255",WB (NL),"3,255","$64,167,069",/movies/?id=17again.htm
17 Girls,9/21/2012,"$4,449",10,Strand,10,"$15,123",/movies/?id=17girls.htm
18 Again,4/8/1988,"$1,475,645","1,152",NW,"1,152","$2,567,099",/movies/?id=18again.htm
18 ans apres,5/2/2003,"$25,611",34,TVA,34,"$25,611",/movies/?id=18ansapres.htm
180 South,5/21/2010,"$10,269",4,Magn.,4,"$31,745",/movies/?id=180south.htm
187,7/30/1997,"$2,222,984","1,121",WB,"1,121","$5,727,130",/movies/?id=187.htm
1898: Los ultimos de Filipinas,3/3/2017,"$1,844",10,Sony,10,"$2,848",/movies/?id=1898losultimosdefilipinas.htm
1900,10/7/1977,n/a,n/a,Par.,n/a,n/a,/movies/?id=1900.htm
1911,10/7/2011,"$55,850",33,Vari.,33,"$135,739",/movies/?id=1911.htm
1915,4/17/2015,"$30,448",8,BM,10,"$111,682",/movies/?id=1915.htm
1920 London,5/6/2016,n/a,33,Rel.,33,n/a,/movies/?id=1920london.htm
1941,12/14/1979,"$2,701,898",325,Uni.,n/a,"$31,755,742",/movies/?id=1941.htm
1969,11/18/1988,"$1,709,120",520,Atl,520,"$5,979,011",/movies/?id=1969.htm
1984,12/14/1984,"$29,897",1,Gold.,295,"$8,430,492",/movies/?id=1984.htm
1995 Bugs Bunny Film Festival,5/5/1995,"$7,219",1,WB,1,"$19,587",/movies/?id=1995bugsbunnyfilmfestival.htm
1998 Bugs Bunny Film Festival,2/13/1998,"$12,285",1,WB,1,"$413,076",/movies/?id=1998bugsbunnyfilmfestival.htm
"2 Autumns, 3 Winters",6/6/2014,"$2,163",1,FM,1,"$5,819",/movies/?id=2autumns.htm
2 Days in New York,8/10/2012,"$23,942",2,Magn.,42,"$633,210",/movies/?id=2daysinnewyork.htm
2 Days in Paris,8/10/2007,"$173,641",10,Gold.,148,"$4,433,994",/movies/?id=2daysinparis.htm
2 Days in the Valley,9/27/1996,"$3,352,440",769,MGM,855,"$11,132,210",/movies/?id=2daysinthevalley.htm
2 Fast 2 Furious,6/6/2003,"$50,472,480","3,408",Uni.,"3,418","$127,154,901",/movies/?id=2fast2furious.htm
2 Guns,8/2/2013,"$27,059,130","3,025",Uni.,"3,028","$75,612,460",/movies/?id=2guns.htm
2 Jacks,10/18/2013,n/a,n/a,BGP,n/a,n/a,/movies/?id=2jacks.htm
2 States,4/18/2014,"$1,073,898",135,UTV,137,"$2,238,174",/movies/?id=2states.htm
20 Centimeters,10/27/2006,"$2,177",1,TLA,2,"$6,635",/movies/?id=20centimeters.htm
20 Dates,2/26/1999,"$40,244",3,FoxS,43,"$541,636",/movies/?id=20dates.htm
20 Feet from Stardom,6/14/2013,"$54,596",3,RTWC,147,"$4,946,445",/movies/?id=20feetfromstardom.htm
20 Million Miles to Earth,Jun 1957,n/a,n/a,Col.,n/a,n/a,/movies/?id=20millionmilestoearth.htm
20 Once Again,1/16/2015,"$92,827",13,CJ,13,"$234,573",/movies/?id=20onceagain.htm
"20,000 Days on Earth",9/17/2014,"$27,879",1,Drft.,28,"$279,558",/movies/?id=20000daysonearth.htm
200 Cartas,6/14/2013,"$9,338",2,VF,2,"$9,338",/movies/?id=200cartas.htm
200 Cigarettes,2/26/1999,"$3,244,277",976,Par.,978,"$6,852,450",/movies/?id=200cigarettes.htm
2001: A Space Odyssey,4/3/1968,n/a,n/a,MGM,n/a,"$56,715,371*",/movies/?id=2001.htm
2001: A Space Odyssey (2013 re-release),1/2/2013,n/a,n/a,WB,n/a,"$214,618*",/movies/?id=20012013.htm
2001: A Space Odyssey (Re-issue),10/5/2001,n/a,n/a,WB,n/a,"$239,621*",/movies/?id=200101.htm
2005 Academy Award Nominated Short Films,2/24/2006,"$28,571",6,Magn.,12,"$157,415",/movies/?id=shorts06.htm
The 2006 Academy Award Nominated Short Films,2/16/2007,"$105,709",38,Magn.,38,"$335,090",/movies/?id=2006shortfilms.htm
2007 Academy Award Nominated Short Films,2/15/2008,"$197,664",65,Magn.,n/a,"$508,695",/movies/?id=2007shortfilms.htm
2008 Oscar Shorts,2/6/2009,"$150,203",41,Shrts.,60,"$644,635",/movies/?id=2008oscarshorts.htm
2010,12/7/1984,"$7,393,361","1,126",MGM,"1,213","$40,400,657",/movies/?id=2010.htm
2010 Oscar Shorts,2/19/2010,"$291,360",95,Shrts.,95,"$1,018,169",/movies/?id=2010oscarshorts.htm
2011 Oscar Shorts,2/11/2011,"$300,706",95,Shrts.,117,"$1,352,152",/movies/?id=2011oscarshorts.htm
2012,11/13/2009,"$65,237,614","3,404",Sony,"3,444","$166,112,167",/movies/?id=2012.htm
2012 Oscar Nominated Short Films,2/10/2012,"$412,304",120,Shrts.,146,"$1,702,415",/movies/?id=2012oscarshorts.htm
2012: Time for Change,4/9/2010,"$9,009",1,Mang.,2,"$68,339",/movies/?id=2012timeforchange.htm
2013 Oscar Nominated Short Films,2/1/2013,"$371,605",105,Shrts.,266,"$2,142,342",/movies/?id=2013oscar.htm
2014 Oscar Nominated Short Films,1/31/2014,"$329,505",105,Shrts.,167,"$2,171,849",/movies/?id=2014oscar.htm
2015 Oscar Nominated Short Films,1/30/2015,"$416,850",118,Shrts.,280,"$2,412,593",/movies/?id=2015oscarshorts.htm
2016 Obama's America,7/13/2012,"$31,610",1,RM,"2,017","$33,449,086",/movies/?id=2016obamasamerica.htm
2016 Oscar Nominated Short Films,1/29/2016,"$559,502",123,Shrts.,260,"$2,816,816",/movies/?id=2016oscarnominatedshortfilms.htm
2017 Cloverfield Movie,2/2/2018,n/a,n/a,Par.,n/a,n/a,/movies/?id=godparticle.htm
2046,8/5/2005,"$113,074",4,SPC,61,"$1,444,588",/movies/?id=2046.htm
20th Century Women,12/28/2016,"$111,200",4,A24,650,"$5,664,764",/movies/?id=20thcenturywomen.htm
21,3/28/2008,"$24,105,943","2,648",Sony,"2,952","$81,159,365",/movies/?id=21.htm
21 and Over,3/1/2013,"$8,754,168","2,771",Rela.,"2,771","$25,682,380",/movies/?id=21andover.htm
21 Grams,11/21/2003,"$274,454",8,Focus,411,"$16,290,476",/movies/?id=21grams.htm
21 Jump Street,3/16/2012,"$36,302,612","3,121",Sony,"3,148","$138,447,667",/movies/?id=21jumpstreet.htm
22 Bullets,Jan 2013,n/a,n/a,Cdgm.,n/a,n/a,/movies/?id=22bullets.htm
22 Jump Street,6/13/2014,"$57,071,445","3,306",Sony,"3,426","$191,719,337",/movies/?id=21jumpstreet2.htm
The 22nd Tournee of Animation,3/30/1990,n/a,n/a,EXPe,n/a,"$768,304",/movies/?id=22ndtourneeofanimation.htm
23 Blast,10/24/2014,"$337,091",617,OAE,617,"$549,185",/movies/?id=23blast.htm
2307: Winter's Dream,10/6/2017,n/a,n/a,VE,n/a,n/a,/movies/?id=2307:winter'sdream.htm
The 23rd Tournee of Animation,8/23/1991,n/a,n/a,EXPe,n/a,"$862,309",/movies/?id=23rdtourneeofanimation.htm
24 (2016),TBD,n/a,n/a,Eros,n/a,n/a,/movies/?id=242016.htm
24 City,6/5/2009,"$6,082",1,CGld,2,"$30,800",/movies/?id=24city.htm
24 Hour Party People,8/9/2002,"$34,940",2,MGM,37,"$1,184,096",/movies/?id=24hourparty.htm
The 24-Hour Woman,1/29/1999,"$21,399",1,Art.,30,"$109,535",/movies/?id=24-hourwoman.htm
The 24th Day,5/14/2004,"$2,001",1,Scre.,1,"$14,460",/movies/?id=24thday.htm
The 24th Tournee of Animation,9/17/1993,n/a,n/a,EXPe,n/a,"$1,012,881",/movies/?id=24thtourneeofanimation.htm
25th Hour,12/19/2002,"$108,865",5,BV,495,"$13,084,595",/movies/?id=25thhour.htm
27 Dresses,1/18/2008,"$23,007,725","3,057",Fox,"3,074","$76,808,654",/movies/?id=27dresses.htm
28 Days,4/14/2000,"$10,310,672","2,523",Sony,"2,523","$37,170,488",/movies/?id=28days.htm
28 Days Later,6/27/2003,"$10,061,858","1,260",FoxS,"1,407","$45,064,915*",/movies/?id=28dayslater.htm
28 Days Later (Secret Cinema),TBD,n/a,n/a,N/A,n/a,n/a*,/movies/?id=28dayslatersecretcinema.htm
28 Hotel Rooms,11/9/2012,"$1,869",1,Osci.,5,"$18,869",/movies/?id=28hotelrooms.htm
28 Weeks Later,5/11/2007,"$9,807,292","2,303",FoxA,"2,305","$28,638,916",/movies/?id=28weekslater.htm
29th Street,11/1/1991,"$431,660",131,Fox,131,"$2,120,564",/movies/?id=29thstreet.htm
2:22,6/30/2017,$294,3,Magn.,3,$422,/movies/?id=222film.htm
2by4,11/26/1999,"$8,163",1,Strand,1,"$17,162",/movies/?id=2by4.htm
The 2nd Animation Celebration,7/27/1989,n/a,n/a,EXPe,n/a,"$1,487,606",/movies/?id=2ndanimationcelebration.htm
3 (2011),9/16/2011,"$9,821",4,Strand,6,"$59,954",/movies/?id=3.htm
"3 1/2 Minutes, 10 Bullets",6/19/2015,"$2,238",1,Part.,8,"$30,407",/movies/?id=3minutes10bullets.htm
3 Backyards,3/11/2011,"$11,332",1,Scre.,3,"$43,073",/movies/?id=3backyards.htm
3 Days to Kill,2/21/2014,"$12,242,218","2,872",Rela.,"2,872","$30,697,999",/movies/?id=threedaystokill.htm
3 Geezers!,5/22/2013,"$1,372",15,N/A,15,"$4,175",/movies/?id=3geezers.htm
3 Generations,5/5/2017,"$18,131",6,Wein.,37,"$68,852",/movies/?id=aboutray.htm
3 Godfathers,12/1/1948,n/a,n/a,MGM,n/a,n/a,/movies/?id=3godfathers.htm
3 Hearts,3/13/2015,"$11,794",1,Cohen,29,"$164,992",/movies/?id=3hearts.htm
3 Idiotas,6/2/2017,"$609,249",349,PNT,349,"$1,249,233",/movies/?id=3idiotas.htm
3 Idiots,12/23/2009,"$1,645,502",119,Relbig.,156,"$6,532,874",/movies/?id=3idiots.htm
3 Needles,12/1/2006,n/a,7,Wlfe.,7,n/a,/movies/?id=3needles.htm
3 Nights in the Desert,2/6/2015,$234,2,Mont.,2,"$1,297",/movies/?id=3nightsinthedesert.htm
3 Ninjas,8/7/1992,"$5,888,920","1,912",BV,"1,954","$29,000,301",/movies/?id=3ninjas.htm
3 Ninjas Kick Back,5/6/1994,"$3,556,310","2,038",TriS,"2,043","$11,798,854",/movies/?id=3ninjaskickback.htm
3 Ninjas Knuckle Up,3/10/1995,"$67,789",52,Sony,52,"$413,479",/movies/?id=3ninjasknuckleup.htm
3 Ninjas: High Noon at Mega Mountain,4/10/1998,"$150,127",120,Sony,120,"$375,805",/movies/?id=3ninjas4.htm
The 3 Rooms of Melancholia,7/29/2005,"$5,025",1,Icar.,2,"$19,317",/movies/?id=3roomsofmelancholia.htm
3 Strikes,3/1/2000,"$3,684,704",678,MGM,678,"$9,832,166",/movies/?id=3strikes.htm
3 Weeks in Yerevan,9/16/2016,"$29,245",3,RME,4,"$45,536",/movies/?id=3weeksinyerevan.htm
"3,2,1... Frankie Go Boom",10/12/2012,n/a,12,Vari.,12,n/a,/movies/?id=321frankie.htm
3-Iron,4/29/2005,"$20,084",7,SPC,31,"$241,914",/movies/?id=3iron.htm
30 Beats,7/20/2012,"$8,624",15,RAtt.,15,"$14,693",/movies/?id=30beats.htm
30 Days of Night,10/19/2007,"$15,951,902","2,855",Sony,"2,859","$39,568,996",/movies/?id=30daysofnight.htm
30 Minutes or Less,8/12/2011,"$13,330,118","2,888",Sony,"2,888","$37,053,924",/movies/?id=30minutesorless.htm
30 Years of Garbage: The Garbage Pail Kids Story,8/11/2017,"$5,030",2,Indic.,2,"$19,700",/movies/?id=30yearsofgarbage.htm
30 Years to Life,6/7/2002,"$3,376",1,Inn.,6,"$103,540",/movies/?id=30yearstolife.htm
300,3/9/2007,"$70,885,301","3,103",WB,"3,280","$210,614,939",/movies/?id=300.htm
The 300 Spartans,Aug 1962,n/a,n/a,Fox,n/a,n/a,/movies/?id=300spartans.htm
3000 Miles to Graceland,2/23/2001,"$7,160,521","2,545",WB,"2,545","$15,749,959",/movies/?id=3000milestograceland.htm
300: Rise of An Empire,3/7/2014,"$45,038,460","3,470",WB,"3,490","$106,580,051",/movies/?id=300sequel.htm
31,8/26/2016,n/a,n/a,Saban,538,"$779,820",/movies/?id=31.htm
The 33,11/13/2015,"$5,787,266","2,452",WB,"2,452","$12,227,722",/movies/?id=33.htm
35 and Ticking,5/20/2011,"$29,808",6,Imag.,6,"$113,794",/movies/?id=35andticking.htm
35 Shots of Rum,9/16/2009,"$9,576",1,CGld,5,"$177,511",/movies/?id=35shotsofrum.htm
35 Up,1/15/1992,"$13,690",1,Gold.,21,"$922,872",/movies/?id=35up.htm
36 Hours,1/28/1965,n/a,n/a,MGM,n/a,n/a,/movies/?id=36hours.htm
36 Saints,9/6/2013,"$7,373",9,AFP,9,"$11,640",/movies/?id=36saints.htm
360,8/3/2012,"$12,186",2,Magn.,12,"$100,343",/movies/?id=360.htm
39 Pounds of Love,11/23/2005,"$4,217",1,Bal.,8,"$28,195",/movies/?id=39poundsoflove.htm
The 39 Steps,8/1/1935,n/a,n/a,Gaum.,n/a,n/a,/movies/?id=39steps.htm
3:10 to Yuma (1957),8/7/1957,n/a,n/a,Col.,n/a,n/a,/movies/?id=3:10toyuma57.htm
3:10 to Yuma (2007),9/7/2007,"$14,035,033","2,652",LGF,"3,006","$53,606,916",/movies/?id=310toyuma.htm
The 3rd Animation Celebration,12/21/1990,n/a,n/a,EXPe,n/a,"$1,289,551",/movies/?id=3rdanimationcelebration.htm
4,4/7/2006,"$5,815",1,Leis.,1,"$20,523",/movies/?id=4.htm
4 Days in France,8/4/2017,"$3,728",1,CGld,2,"$11,029",/movies/?id=4daysinfrance.htm
4 Little Girls,7/9/1997,"$13,528",1,GV,4,"$130,146",/movies/?id=4littlegirls.htm
"4 Months, 3 Weeks, 2 Days",1/25/2008,"$51,712",2,IFC,47,"$1,198,208",/movies/?id=4months3weeks2days.htm
40 Days and 40 Nights,3/1/2002,"$12,229,529","2,225",Mira.,"2,399","$37,950,822",/movies/?id=40daysand40nights.htm
The 40-Year-Old Virgin,8/19/2005,"$21,422,815","2,845",Uni.,"3,006","$109,449,237",/movies/?id=40yearoldvirgin.htm
The 400 Blows,11/16/1959,n/a,n/a,ZIF,n/a,n/a,/movies/?id=400blows.htm
42,4/12/2013,"$27,487,144","3,003",WB,"3,405","$95,020,213",/movies/?id=42.htm
42 Up,11/17/1999,"$11,599",1,FRun,5,"$300,880",/movies/?id=42up.htm
42nd Street,3/9/1933,n/a,n/a,WB,n/a,n/a,/movies/?id=42ndstreet.htm
44 Inch Chest,1/15/2010,"$4,185",1,Imag.,5,"$39,033",/movies/?id=44inchchest.htm
45 Years,12/23/2015,"$65,775",3,IFC,251,"$4,247,285",/movies/?id=45years.htm
45365,2/26/2010,$107,1,7Arts,1,$853,/movies/?id=45365.htm
47 Meters Down,6/16/2017,"$11,205,561","2,270",ENTMP,"2,471","$44,300,147",/movies/?id=47metersdown.htm
47 Ronin,12/25/2013,"$9,910,310","2,689",Uni.,"2,690","$38,362,475",/movies/?id=47ronin.htm
48 HRS.,12/10/1982,"$4,369,868",850,Par.,"1,050","$78,868,508",/movies/?id=48hrs.htm
49 Up,10/6/2006,"$53,277",21,FRun,21,"$241,772",/movies/?id=49up.htm
49th Parallel,3/5/1942,n/a,n/a,Col.,n/a,n/a,/movies/?id=49thparallel.htm
4:44: Last Day on Earth,3/23/2012,"$8,355",3,IFC,3,"$17,801",/movies/?id=444lastdayonearth.htm
The 4th Animation Celebration,4/1/1992,"$35,216",4,EXPe,4,"$181,273",/movies/?id=4thanimationcelebration.htm
The 4th Tenor,11/22/2002,"$2,152",2,Wine,2,"$2,152",/movies/?id=4thtenor.htm
5 Broken Cameras,5/30/2012,"$6,674",1,KL,9,"$109,983",/movies/?id=fivebrokencameras.htm
5 Days of War,8/19/2011,"$6,254",2,Anch.,6,"$17,479",/movies/?id=5daysofwar.htm
5 Flights Up,5/8/2015,"$238,491",87,Focus,94,"$1,020,921",/movies/?id=5flightsup.htm
5 to 7,4/3/2015,"$18,006",2,IFC,27,"$162,685",/movies/?id=5to7.htm
50 First Dates,2/13/2004,"$39,852,237","3,591",Sony,"3,612","$120,908,074",/movies/?id=50firstdates.htm
50 to 1,3/21/2014,"$78,480",19,10F,133,"$1,064,454",/movies/?id=50to1.htm
50 Ways of Saying Fabulous,6/2/2006,"$4,800",1,Olive,1,"$4,800",/movies/?id=50waysofsayingfabulous.htm
50/50,9/30/2011,"$8,644,095","2,458",Sum.,"2,479","$35,014,192",/movies/?id=50fifty.htm
51 Birch Street,10/18/2006,"$10,827",2,Truly,6,"$84,689",/movies/?id=51birchstreet.htm
52 Pick-Up,11/7/1986,"$1,654,835",730,Can.,730,"$5,186,646",/movies/?id=52pickup.htm
52 Tuesdays,4/3/2015,"$1,828",1,KL,n/a,n/a,/movies/?id=52tuesdays.htm
54,8/28/1998,"$6,611,532","1,859",Mira.,"1,869","$16,757,163",/movies/?id=54.htm
56 Up,1/4/2013,"$22,088",1,FRun,33,"$701,278",/movies/?id=56up.htm
The 5th Quarter,3/25/2011,"$202,342",123,RM,123,"$408,159",/movies/?id=5thquarter.htm
The 5th Wave,1/22/2016,"$10,326,356","2,908",Sony,"2,908","$34,916,787",/movies/?id=5thwave.htm
5x2,6/10/2005,"$15,667",2,Think,5,"$128,752",/movies/?id=5x2.htm
6 Days,8/18/2017,n/a,n/a,VE,n/a,n/a,/movies/?id=6days.htm
6 Month Rule,6/1/2012,"$1,963",1,SIP,3,"$14,057",/movies/?id=6monthrule.htm
6 Souls,4/5/2013,n/a,54,RTWC,54,n/a,/movies/?id=shelter2011.htm
6 Years,8/18/2015,n/a,n/a,Orch.,n/a,n/a,/movies/?id=6years.htm
600 Millas,TBD,n/a,n/a,N/A,n/a,n/a,/movies/?id=600millas.htm
The 6th Day,11/17/2000,"$13,020,883","2,516",Sony,"2,516","$34,604,280",/movies/?id=6thday.htm
The 6th Man,3/28/1997,"$4,128,178","1,227",BV,"1,231","$14,772,788",/movies/?id=6thman.htm
7 Boxes,2/7/2014,"$6,447",6,BGP,7,"$38,106",/movies/?id=7boxes.htm
7 Chinese Brothers,8/28/2015,n/a,n/a,Scre.,8,"$28,180",/movies/?id=7chinesebrothers.htm
7 Dias,8/17/2007,"$10,548",8,Xen.,8,"$16,791",/movies/?id=7dias.htm
7 From Etheria,7/7/2017,$940,1,PDF,2,"$2,208",/movies/?id=7frometheria.htm
7 Khoon Maaf,2/18/2011,"$164,153",65,UTV,68,"$270,207",/movies/?id=7khoonmaaf.htm
7 Minutes,6/26/2015,n/a,n/a,SM,n/a,n/a,/movies/?id=7minutes.htm
7 Witches,4/21/2017,"$1,875",1,Indic.,4,"$31,100",/movies/?id=7witches.htm
'71,2/27/2015,"$55,761",4,RAtt.,121,"$1,270,847",/movies/?id=71.htm
71 Into the Fire,7/30/2010,"$77,161",20,JS,20,"$176,638",/movies/?id=71intothefire.htm
7500,TBD,n/a,n/a,CBS,n/a,n/a,/movies/?id=7500.htm
78/52: Hitchcock's Shower Scene,10/13/2017,n/a,n/a,IFC,n/a,n/a,/movies/?id=hitchcocksshowerscene.htm
7th Street,1/17/2003,"$6,354",1,PAc.,1,"$15,629",/movies/?id=7thstreet.htm
8 1/2 (re-issue),4/9/1999,"$11,947",1,Kino,1,"$98,760*",/movies/?id=81299.htm
8 1/2 Women,5/26/2000,"$92,000",16,Lions,30,"$424,123",/movies/?id=812women.htm
8 Films to Die For (2015),10/16/2015,n/a,11,ADF,11,n/a,/movies/?id=8filmstodiefor2015.htm
8 Heads in a Duffel Bag,4/18/1997,"$2,024,516","1,553",Orion,"1,553","$3,602,884",/movies/?id=8headsinaduffelbag.htm
8 Mile,11/8/2002,"$51,240,555","2,470",Uni.,"2,585","$116,750,901",/movies/?id=8mile.htm
8 Million Ways to Die,4/25/1986,"$609,955",215,TriS,215,"$1,305,114",/movies/?id=8millionwaystodie.htm
8 Seconds,2/25/1994,"$3,369,037",836,NL,838,"$19,623,396",/movies/?id=8seconds.htm
8 Women,9/6/2002,"$52,489",3,Focus,85,"$3,098,776",/movies/?id=8women.htm
800 Bullets,10/29/2004,$866,2,TLA,2,$866,/movies/?id=800bullets.htm
84 Charing Cross Road,2/13/1987,"$24,350",1,Col.,24,"$1,083,486",/movies/?id=84charingcrossroad.htm
